phrase,expected_IPA
The cat sat on the mat,/ðə kæt sæt ɒn ðə mæt/
She sells seashells by the seashore,/ʃi sɛlz siːʃɛlz baɪ ðə siːʃɔː/
Peter Piper picked a peck of pickled peppers,/ˈpiːtə ˈpaɪpə ˈpɪkt ə ˈpɛk əv ˈpɪkəld ˈpɛpəz/
A quick brown fox jumps over the lazy dog,/ə kwɪk braʊn fɒks ʤʌmps ˈəʊvə ðə ˈleɪzi dɒɡ/
How much wood would a woodchuck chuck,/haʊ mʌʧ wʊd wʊd ə ˈwʊʧʌk ʧʌk/
Red lorry yellow lorry,/rɛd ˈlɒri ˈjɛləʊ ˈlɒri/
The rain in Spain stays mainly in the plain,/ðə reɪn ɪn speɪn steɪz ˈmeɪnli ɪn ðə pleɪn/
Betty bought some butter but the butter was bitter,/ˈbɛti bɔːt sʌm ˈbʌtə bʌt ðə ˈbʌtə wɒz ˈbɪtə/
I scream you scream we all scream for ice cream,/aɪ skriːm juː skriːm wiː ɔːl skriːm fɔːr aɪs kriːm/
Six slippery snails slid slowly seaward,/sɪks ˈslɪpəri sneɪlz slɪd ˈsləʊli ˈsiːwəd/
Fuzzy Wuzzy was a bear,/ˈfʌzi ˈwʌzi wɒz ə beə/
A big black bug bit a big black bear,/ə bɪɡ blæk bʌɡ bɪt ə bɪɡ blæk beə/
Can you can a can as a canner can can a can,/kæn juː kæn ə kæn əz ə ˈkænə kæn kæn ə kæn/
I saw Susie sitting in a shoeshine shop,/aɪ sɔː ˈsuːzi ˈsɪtɪŋ ɪn ə ˈʃuːʃaɪn ʃɒp/
If a dog chews shoes whose shoes does he choose,/ɪf ə dɒɡ ʧuːz ʃuːz huːz ʃuːz dʌz hiː ʧuːz/
He threw three free throws,/hiː θruː θriː friː θrəʊz/
I thought I thought of thinking of thanking you,/aɪ θɔːt aɪ θɔːt əv ˈθɪŋkɪŋ əv ˈθæŋkɪŋ juː/
Nine nice night nurses nursing nicely,/naɪn naɪs naɪt ˈnɜːsɪz ˈnɜːsɪŋ ˈnaɪsli/
Thin sticks thick bricks,/θɪn stɪks θɪk brɪks/
Truly rural,/ˈtruːli ˈrʊərəl/
Unique New York,/juːˈniːk njuː jɔːk/
Which wristwatches are Swiss wristwatches,/wɪʧ ˈrɪstwɒʧɪz ɑː swɪs ˈrɪstwɒʧɪz/
Fred fed Ted bread and Ted fed Fred bread,/frɛd fɛd tɛd brɛd ənd tɛd fɛd frɛd brɛd/
The great Greek grape growers grow great Greek grapes,/ðə ɡreɪt ɡriːk ɡreɪp ˈɡrəʊəz ɡrəʊ ɡreɪt ɡriːk ɡreɪps/
Eleven benevolent elephants,/ɪˈlɛvən bɪˈnɛvələnt ˈɛlɪfənts/
Tom threw Tim three thumbtacks,/tɒm θruː tɪm θriː ˈθʌmtæks/
Lesser leather never weathered wetter weather better,/ˈlɛsə ˈlɛðə ˈnɛvə ˈwɛðəd ˈwɛtə ˈwɛðə ˈbɛtə/
Green glass globes glow greenly,/ɡriːn ɡlɑːs ɡləʊbz ɡləʊ ˈɡriːnli/
Shiny shoes should show,/ˈʃaɪni ʃuːz ʃʊd ʃəʊ/
Four furious friends fought for the phone,/fɔː ˈfjʊərɪəs frɛndz fɔːt fɔː ðə fəʊn/
A proper copper coffee pot,/ə ˈprɒpə ˈkɒpə ˈkɒfi pɒt/
Brisk brave brigadiers brandished broad bright blades,/brɪsk breɪv ˈbrɪɡədɪəz ˈbrændɪʃt brɔːd braɪt bleɪdz/
Many an anemone sees an enemy anemone,/ˈmɛni ən əˈnɛməni siːz ən ˈɛnəmi əˈnɛməni/
Rolling red wagons,/ˈrəʊlɪŋ rɛd ˈwæɡənz/
A box of mixed biscuits and a biscuit mixer,/ə bɒks əv mɪkst ˈbɪskɪts ənd ə ˈbɪskɪt ˈmɪksə/
Giggling gaggles of geese,/ˈɡɪɡlɪŋ ˈɡæɡlz əv ɡiːs/
The seething sea ceaseth and thus the seething sea sufficeth us,/ðə ˈsiːðɪŋ siː ˈsiːsɪθ ənd ðʌs ðə ˈsiːðɪŋ siː səˈfaɪsɪθ ʌs/
A tidy tiger tied a tighter tie to tidy her tiny tail,/ə ˈtaɪdi ˈtaɪɡə taɪd ə ˈtaɪtə taɪ tə ˈtaɪdi hə ˈtaɪni teɪl/
Crisp crusts crackle crunchily,/krɪsp krʌsts ˈkrækl ˈkrʌnʧɪli/
Lesser spotted leopards leap lightly,/ˈlɛsə ˈspɒtɪd ˈlɛpədz liːp ˈlaɪtli/
